list_name;name;english;filter
departamento;antioquia;Antioquia;
departamento;caldas;Caldas;
departamento;quindio;Quindio;
departamento;risaralda;Risaralda;
departamento;bogota_dc;Bogota DC;
departamento;archipielago_de_san_andres;San Andres y Providencia;
departamento;atlantico;Atlantico;
departamento;bolivar;Bolivar;
departamento;cesar;Cesar;
departamento;cordoba;Cordoba;
departamento;la_guajira;La Guajira;
departamento;magdalena;Magdalena;
departamento;sucre;Sucre;
departamento;cundinamarca;Cundinamarca;
departamento;huila;Huila;
departamento;tolima;Tolima;
departamento;boyaca;Boyaca;
departamento;norte_de_santander;Norte de Santander;
departamento;santander;Santander;
departamento;cauca;Cauca;
departamento;choco;Choco;
departamento;narino;Narino;
departamento;valle_del_cauca;Valle del Cauca;
departamento;arauca;Arauca;
departamento;caqueta;Caqueta;
departamento;casanare;Casanare;
departamento;meta;Meta;
departamento;putumayo;Putumayo;
departamento;amazonas;Amazonas;
departamento;vichada;Vichada;
departamento;vaupes;Vaupes;
